date,Open,High,Low,Close,Volume,Ticker
2025-10-16,248.25,249.04,245.13,247.45,39776974.0,AAPL
2025-10-17,248.02,253.38,247.27,252.29,49146961.0,AAPL
2025-10-20,255.885,264.375,255.63,262.24,90483029.0,AAPL
2025-10-21,261.88,265.29,261.83,262.77,46695948.0,AAPL
2025-10-22,262.65,262.85,255.43,258.45,45015254.0,AAPL
2025-10-23,259.94,260.62,258.0101,259.58,32754941.0,AAPL
2025-10-24,261.19,264.13,259.18,262.82,38253717.0,AAPL
2025-10-27,264.88,269.12,264.6501,268.81,44888152.0,AAPL
2025-10-28,268.985,269.89,268.15,269.0,41534759.0,AAPL
2025-10-29,269.275,271.41,267.11,269.7,51086742.0,AAPL
2025-10-30,271.99,274.14,268.48,271.4,69886534.0,AAPL
2025-10-31,276.99,277.32,269.16,270.37,86167123.0,AAPL
2025-11-03,270.42,270.85,266.25,269.05,50194583.0,AAPL
2025-11-04,268.325,271.486,267.615,270.04,49274846.0,AAPL
2025-11-05,268.61,271.7,266.93,270.14,42586288.0,AAPL
2025-11-06,267.89,273.4,267.89,269.77,51204045.0,AAPL
2025-11-07,269.795,272.29,266.77,268.47,48227365.0,AAPL
2025-11-10,268.96,273.73,267.455,269.43,41312412.0,AAPL
2025-11-11,269.81,275.91,269.8,275.25,46208318.0,AAPL
2025-11-12,275.0,275.73,271.7,273.47,48397982.0,AAPL
2025-11-13,274.11,276.699,272.09,272.95,49602794.0,AAPL
2025-11-14,271.05,275.96,269.6,272.41,47431331.0,AAPL
2025-11-17,268.815,270.49,265.73,267.46,45018260.0,AAPL
2025-11-18,269.99,270.71,265.32,267.44,45677278.0,AAPL
2025-11-19,265.525,272.21,265.5,268.56,40424492.0,AAPL
2025-11-20,270.83,275.43,265.92,266.25,45823568.0,AAPL
2025-11-21,265.95,273.33,265.67,271.49,59030832.0,AAPL
2025-11-24,270.9,277.0,270.9,275.92,65585796.0,AAPL
2025-11-25,275.27,280.38,275.25,276.97,46914220.0,AAPL
2025-11-26,276.96,279.53,276.63,277.55,33431423.0,AAPL
2025-11-28,277.26,279.0,275.9865,278.85,20135620.0,AAPL
